scene,dataset,method,seed,max_steps,psnr,ssim,lpips,num_GS,total_seconds
bicycle,Mip-NeRF 360,guided,42,30000,27.124813,0.827645,0.135297,1500000,622.462154
bonsai,Mip-NeRF 360,guided,42,30000,33.207443,0.955109,0.105728,1500000,812.023618
counter,Mip-NeRF 360,guided,42,30000,29.603821,0.918866,0.135931,1500000,841.967825
flowers,Mip-NeRF 360,guided,42,30000,22.825802,0.661257,0.274456,1500000,628.755737
garden,Mip-NeRF 360,guided,42,30000,29.187611,0.894317,0.073547,1500000,619.828724
kitchen,Mip-NeRF 360,guided,42,30000,32.786434,0.943013,0.075829,1500000,813.929725
room,Mip-NeRF 360,guided,42,30000,31.945063,0.927761,0.150375,1500000,763.210986
stump,Mip-NeRF 360,guided,42,30000,28.309685,0.835882,0.123241,1500000,651.856321
treehill,Mip-NeRF 360,guided,42,30000,24.407221,0.713791,0.259557,1500000,611.914806
drjohnson,Deep Blending,guided,42,30000,28.824223,0.891624,0.209700,1500000,641.649347
playroom,Deep Blending,guided,42,30000,30.152725,0.920273,0.156100,1500000,563.214289
train,Tanks and Temples,guided,42,30000,23.002930,0.845792,0.128153,1500000,619.481390
truck,Tanks and Temples,guided,42,30000,26.306358,0.893105,0.089807,1500000,584.008559
